epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7318,1.2764,3.00956,1.1041,0.94863,0.30135,0.45565,0.31634,1.22276,3.11193,1.06883,0.00040008,0.00040008,0.00040008
2,23.2209,1.11706,1.68553,1.03276,0.87025,0.39367,0.49963,0.35223,1.25903,2.97892,1.0164,0.000808743,0.000808743,0.000808743
3,32.5575,1.16176,1.61172,1.04064,0.88465,0.23019,0.44342,0.29567,1.29377,2.73259,1.10794,0.00120916,0.00120916,0.00120916
4,41.4529,1.09837,1.42464,1.02026,1,0.41331,0.84492,0.53468,1.25737,1.86908,1.05891,0.00160132,0.00160132,0.00160132
5,50.4728,1.08032,1.25986,0.99519,0.6803,0.66881,0.86843,0.5975,1.19242,1.61905,1.09139,0.00160099,0.00160099,0.00160099
6,59.5791,1.06463,1.19832,1.01413,0.62961,0.82748,0.78518,0.54265,1.18357,1.28169,1.04647,0.00158448,0.00158448,0.00158448
7,68.554,1.08027,1.13668,0.98802,0.55782,0.83721,0.79617,0.5475,1.158,1.69715,1.01987,0.00156798,0.00156798,0.00156798
8,77.6237,1.07815,1.09992,0.99186,0.5581,0.7502,0.78893,0.51632,1.19162,1.55261,1.08924,0.00155148,0.00155148,0.00155148
9,86.4619,1.06316,1.05648,1.01024,0.80738,0.76784,0.85268,0.60103,1.15404,1.04568,1.00359,0.00153497,0.00153497,0.00153497
10,95.3684,1.02957,0.98302,0.99226,0.71923,0.87681,0.87293,0.60728,1.12051,1.25251,1.01041,0.00151847,0.00151847,0.00151847
11,104.16,1.03596,0.9643,0.98432,0.79373,0.87251,0.88287,0.5952,1.1677,0.98428,1.00809,0.00150197,0.00150197,0.00150197
12,113.204,1.00105,0.87856,0.97905,0.80816,0.91948,0.8875,0.6175,1.15664,0.92441,1.04417,0.00148546,0.00148546,0.00148546
13,121.956,0.99647,0.85671,0.97545,0.76522,0.97674,0.85459,0.58013,1.19675,0.84719,1.052,0.00146896,0.00146896,0.00146896
14,130.753,1.0123,0.82383,0.97559,0.79011,0.84322,0.83373,0.57005,1.23051,1.06286,1.09374,0.00145246,0.00145246,0.00145246
15,139.54,0.96759,0.80808,0.9711,0.84097,0.82739,0.90623,0.63009,1.19342,0.97289,1.06149,0.00143595,0.00143595,0.00143595
16,148.515,0.94002,0.75738,0.95518,0.77787,0.79988,0.86138,0.60831,1.19291,1.02463,1.03297,0.00141945,0.00141945,0.00141945
17,157.452,0.94578,0.73527,0.95348,0.83672,0.71775,0.85506,0.59488,1.15204,0.91684,1.02153,0.00140295,0.00140295,0.00140295
18,166.75,0.92216,0.72,0.95329,0.69885,0.92374,0.86584,0.59451,1.1549,0.96072,1.02061,0.00138644,0.00138644,0.00138644
19,178.069,0.9514,0.72336,0.97152,0.58161,0.72471,0.77168,0.5011,1.21764,1.81175,1.06252,0.00136994,0.00136994,0.00136994
